Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001187,Male,Yes,0,Graduate,No,2783,2708,158,360,1,Urban,No
LP001190,Male,Yes,0,Graduate,No,2740,1541,101,360,1,Urban,No
LP001203,Male,No,0,Graduate,No,3150,0,176,360,0,Semiurban,No
LP001208,Male,Yes,2,Graduate,,7350,4029,185,180,1,Urban,No
LP001210,Male,Yes,0,Graduate,Yes,2267,2792,90,360,1,Urban,No
LP001211,Male,No,0,Graduate,Yes,5833,0,116,360,1,Urban,No
LP001219,Male,No,0,Graduate,No,3643,1963,138,360,1,Urban,Yes
LP001220,Male,Yes,0,Graduate,No,5629,818,100,360,1,Urban,No
LP001221,Female,No,0,Graduate,No,3644,0,110,360,1,Urban,No
LP001226,Male,Yes,0,Not Graduate,No,1750,2024,90,360,1,Semiurban,No
LP001230,Male,No,0,Graduate,No,6500,2600,200,360,1,Semiurban,No
LP001231,Female,No,0,Graduate,No,3666,0,84,360,1,Urban,No
LP001232,Male,Yes,0,Graduate,No,4260,3900,185,,,Urban,No
LP001237,Male,Yes,,Not Graduate,No,4163,1475,162,360,1,Urban,No
LP001242,Male,No,0,Not Graduate,No,2356,1902,108,360,1,Semiurban,No
LP001268,Male,No,0,Graduate,No,6792,3338,187,,1,Urban,No
LP001270,Male,Yes,3+,Not Graduate,Yes,8000,250,187,360,1,Semiurban,No
LP001284,Male,Yes,1,Graduate,No,2419,1707,124,360,1,Urban,No
LP001287,,Yes,3+,Not Graduate,No,3500,833,120,360,1,Semiurban,No
LP001291,Male,Yes,1,Graduate,No,3500,3077,160,360,1,Semiurban,No
LP001298,Male,Yes,2,Graduate,No,4116,1000,30,180,1,Urban,No
LP001312,Male,Yes,0,Not Graduate,Yes,5293,0,92,360,1,Urban,No
LP001313,Male,No,0,Graduate,No,2750,0,130,360,0,Urban,No
LP001317,Female,No,0,Not Graduate,No,4402,0,130,360,1,Rural,No
LP001321,Male,Yes,2,Graduate,No,3613,3539,134,180,1,Semiurban,Yes
LP001323,Female,Yes,2,Graduate,No,2779,3664,176,360,0,Semiurban,No
LP001324,Male,Yes,3+,Graduate,No,4720,0,90,180,1,Semiurban,No
LP001332,Male,Yes,0,Not Graduate,No,2415,1721,110,360,1,Semiurban,No
LP001335,Male,Yes,0,Graduate,Yes,7016,292,125,360,1,Urban,No
LP001338,Female,No,2,Graduate,No,4968,0,189,360,1,Semiurban,No
LP001347,Female,No,0,Graduate,No,2101,1500,108,360,0,Rural,No
LP001348,Male,Yes,3+,Not Graduate,No,4490,0,125,360,1,Urban,No
LP001351,Male,Yes,0,Graduate,No,2917,3583,138,360,1,Semiurban,No
LP001352,Male,Yes,0,Not Graduate,No,4700,0,135,360,0,Semiurban,No
LP001358,Male,Yes,0,Graduate,No,3445,0,130,360,0,Semiurban,No
LP001359,Male,Yes,0,Graduate,No,7666,0,187,360,1,Semiurban,No
LP001361,Male,Yes,0,Graduate,No,2458,5105,188,360,0,Rural,No
LP001366,Female,No,,Graduate,No,3250,0,95,360,1,Semiurban,No
LP001368,Male,No,0,Graduate,No,4463,0,65,360,1,Semiurban,No
LP001375,Male,Yes,1,Graduate,,4083,1775,139,60,1,Urban,Yes
LP001380,Male,Yes,0,Graduate,Yes,3900,2094,232,360,1,Rural,No
LP001386,Male,Yes,0,Not Graduate,No,4750,3583,144,360,1,Semiurban,Yes
LP001400,Male,No,0,Graduate,No,3583,3435,155,360,1,Urban,No
LP001407,Male,Yes,0,Graduate,No,3189,2367,186,360,1,Urban,No
LP001413,Male,No,0,Graduate,Yes,6356,0,50,360,1,Rural,No
LP001415,Male,Yes,1,Graduate,No,3413,4053,,360,1,Semiurban,Yes
LP001419,Female,Yes,0,Graduate,No,7950,0,185,360,1,Urban,No
LP001420,Male,Yes,3+,Graduate,No,3829,1103,163,360,0,Urban,No
LP001428,Male,Yes,3+,Graduate,No,72529,0,360,360,1,Urban,No
LP001445,Male,Yes,2,Not Graduate,No,4136,0,149,480,0,Rural,No
LP001446,Male,Yes,0,Graduate,No,8449,0,257,360,1,Rural,No
LP001450,Male,Yes,0,Graduate,No,4456,0,131,180,0,Semiurban,No
LP001452,Male,Yes,2,Graduate,No,4635,8000,102,180,1,Rural,Yes
LP001455,Male,Yes,0,Graduate,No,3571,1917,135,360,1,Urban,Yes
LP001466,Male,No,0,Graduate,No,3066,0,95,360,1,Semiurban,No
LP001471,Male,No,2,Not Graduate,No,3235,2015,77,360,1,Semiurban,Yes
LP001472,Female,No,0,Graduate,,5058,0,200,360,1,Rural,No
LP001475,Male,Yes,0,Graduate,Yes,3188,2286,130,360,,Rural,Yes
LP001483,Male,Yes,3+,Graduate,No,13518,0,390,360,1,Rural,No
LP001486,Male,Yes,1,Graduate,No,4364,2500,185,360,1,Semiurban,No
LP001490,Male,Yes,2,Not Graduate,No,4766,1646,100,360,1,Semiurban,Yes
LP001496,Male,Yes,1,Graduate,No,4609,2333,123,360,0,Semiurban,Yes
LP001499,Female,Yes,3+,Graduate,No,6260,0,110,360,1,Semiurban,No
LP001500,Male,Yes,1,Graduate,No,3333,4200,256,360,1,Urban,No
LP001501,Male,Yes,0,Graduate,No,3500,3250,140,360,1,Semiurban,Yes
LP001517,Male,Yes,3+,Graduate,No,9719,0,61,360,1,Urban,No
LP001527,Male,Yes,3+,Graduate,No,6835,0,188,360,,Semiurban,No
LP001534,Male,No,0,Graduate,No,4452,0,131,360,1,Rural,No
LP001542,Female,Yes,0,Graduate,No,2262,0,,480,0,Semiurban,No
LP001547,Male,Yes,1,Graduate,No,3901,0,116,360,1,Urban,No
LP001548,Male,Yes,2,Not Graduate,No,2687,0,50,180,1,Rural,No
LP001558,Male,No,0,Graduate,No,2243,2233,107,360,,Semiurban,No
LP001561,Female,Yes,0,Graduate,No,3417,1287,200,360,1,Semiurban,No
LP001563,,No,0,Graduate,No,1596,1760,119,360,0,Urban,No
LP001567,Male,Yes,3+,Graduate,No,4513,0,120,360,1,Rural,No
LP001568,Male,Yes,0,Graduate,No,4500,0,140,360,1,Semiurban,No
LP001573,Male,Yes,0,Not Graduate,No,4523,1350,165,360,1,Urban,No
LP001584,Female,No,0,Graduate,Yes,4742,0,108,360,1,Semiurban,No
LP001587,Male,Yes,,Graduate,No,4082,0,93,360,1,Semiurban,No
LP001589,Female,No,0,Graduate,No,3417,0,102,360,1,Urban,No
LP001591,Female,Yes,2,Graduate,No,2922,3396,122,360,1,Semiurban,No
LP001599,Male,Yes,0,Graduate,No,4167,4754,160,360,1,Rural,No
LP001601,Male,No,3+,Graduate,No,4243,4123,157,360,,Semiurban,No
LP001607,Female,No,0,Not Graduate,No,0,1760,180,360,1,Semiurban,No
LP001611,Male,Yes,1,Graduate,No,1516,2900,80,,0,Rural,No
LP001613,Female,No,0,Graduate,No,1762,2666,104,360,0,Urban,No
LP001622,Male,Yes,2,Graduate,No,724,3510,213,360,0,Rural,No
LP001627,Male,No,0,Graduate,No,3125,0,65,360,1,Urban,No
LP001650,Male,Yes,0,Graduate,No,2333,3803,146,360,1,Rural,No
LP001651,Male,Yes,3+,Graduate,No,3350,1560,135,360,1,Urban,Yes
LP001652,Male,No,0,Graduate,No,2500,6414,187,360,0,Rural,No
LP001655,Female,No,0,Graduate,No,12500,0,300,360,0,Urban,No
LP001660,Male,No,0,Graduate,No,4667,0,120,360,1,Semiurban,No
LP001662,Male,No,0,Graduate,No,6500,0,71,360,0,Urban,No
LP001663,Male,Yes,2,Graduate,No,7500,0,225,360,1,Urban,No
LP001667,Male,No,0,Graduate,No,3073,0,70,180,1,Urban,No
LP001695,Male,Yes,1,Not Graduate,No,3321,2088,70,,1,Semiurban,Yes
LP001703,Male,Yes,0,Graduate,No,3333,1270,124,360,1,Urban,Yes
LP001718,Male,No,0,Graduate,No,3391,0,132,360,1,Rural,No
LP001728,Male,Yes,1,Graduate,Yes,3343,1517,105,360,1,Rural,Yes
LP001735,Female,No,1,Graduate,No,3620,0,90,360,1,Urban,No
LP001737,Male,No,0,Graduate,No,4000,0,83,84,1,Urban,No
LP001739,Male,Yes,0,Graduate,No,4258,0,125,360,1,Urban,No
LP001742,Male,Yes,2,Graduate,No,4500,0,147,360,1,Rural,No
LP001757,Male,Yes,1,Graduate,No,2014,2925,120,360,1,Rural,No
LP001769,,No,,Graduate,No,3333,1250,110,360,1,Semiurban,Yes
LP001771,Female,No,3+,Graduate,No,4083,0,103,360,,Semiurban,No
LP001785,Male,No,0,Graduate,No,4727,0,150,360,0,Rural,No
LP001787,Male,Yes,3+,Graduate,No,3089,2999,100,240,1,Rural,Yes
LP001789,Male,Yes,3+,Not Graduate,,6794,528,139,360,0,Urban,No
LP001791,Male,Yes,0,Graduate,Yes,32000,0,550,360,,Semiurban,No
LP001794,Male,Yes,2,Graduate,Yes,10890,0,260,12,1,Rural,No
LP001797,Female,No,0,Graduate,No,12941,0,150,300,1,Urban,No
LP001815,Male,No,0,Not Graduate,No,3276,0,90,360,1,Semiurban,No
LP001817,Male,No,0,Not Graduate,Yes,8703,0,199,360,0,Rural,No
LP001818,Male,Yes,1,Graduate,No,4742,717,139,360,1,Semiurban,No
LP001822,Male,No,0,Graduate,No,5900,0,150,360,1,Urban,No
LP001827,Male,No,0,Graduate,No,3071,4309,180,360,1,Urban,No
LP001831,Male,Yes,0,Graduate,No,2783,1456,113,360,1,Urban,No
LP001842,Male,No,0,Graduate,No,5000,0,148,360,1,Rural,No
LP001853,Male,Yes,1,Not Graduate,No,2463,2360,117,360,0,Urban,No
LP001855,Male,Yes,2,Graduate,No,4855,0,72,360,1,Rural,No
LP001857,Male,No,0,Not Graduate,Yes,1599,2474,125,300,1,Semiurban,No
LP001862,Male,Yes,2,Graduate,Yes,4246,4246,214,360,1,Urban,No
LP001867,Male,Yes,0,Graduate,No,4333,2291,133,350,1,Rural,Yes
LP001878,Male,No,1,Graduate,No,5823,2529,187,360,1,Semiurban,No
LP001881,Male,Yes,0,Not Graduate,No,7895,0,143,360,1,Rural,No
LP001886,Male,No,0,Graduate,No,4150,4256,209,360,1,Rural,No
LP001906,Male,No,0,Graduate,,2964,0,84,360,0,Semiurban,No
LP001909,Male,No,0,Graduate,No,5583,0,116,360,1,Urban,No
LP001911,Female,No,0,Graduate,No,2708,0,65,360,1,Rural,No
LP001921,Male,No,1,Graduate,No,3180,2370,80,240,,Rural,Yes
LP001923,Male,No,0,Not Graduate,No,2268,0,170,360,0,Semiurban,No
LP001933,Male,No,2,Not Graduate,No,1141,2017,120,360,0,Urban,
LP001943,Male,Yes,0,Graduate,No,3042,3167,135,360,1,Urban,
LP001950,Female,Yes,3+,Graduate,,1750,2935,94,360,0,Semiurban,No
LP001959,Female,Yes,1,Graduate,No,3564,0,79,360,1,Rural,Yes
LP001961,Female,No,0,Graduate,No,3958,0,110,360,1,Rural,No
LP001973,Male,Yes,2,Not Graduate,No,4483,0,130,360,1,Rural,No
LP001975,Male,Yes,0,Graduate,No,5225,0,143,360,1,Rural,No
LP001979,Male,No,0,Graduate,No,3017,2845,159,180,0,Urban,No
LP001995,Male,Yes,0,Not Graduate,No,2431,1820,110,360,0,Rural,No
LP001999,Male,Yes,2,Graduate,,4912,4614,160,360,1,Rural,No
LP002007,Male,Yes,2,Not Graduate,No,2500,3333,131,360,1,Urban,No
LP002009,Female,No,0,Graduate,No,2918,0,65,360,,Rural,No
LP002016,Male,Yes,2,Graduate,No,5128,0,143,360,1,Rural,No
LP002017,Male,Yes,3+,Graduate,No,15312,0,187,360,,Urban,No
LP002018,Male,Yes,2,Graduate,No,3958,2632,160,360,1,Semiurban,No
LP002027,Male,Yes,0,Graduate,No,4334,2945,165,360,1,Semiurban,No
LP002028,Male,Yes,2,Graduate,No,4358,0,110,360,1,Urban,No
LP002042,Female,Yes,1,Graduate,No,4000,3917,173,360,1,Rural,No
LP002045,Male,Yes,3+,Graduate,No,10166,750,150,,1,Urban,No
LP002046,Male,Yes,0,Not Graduate,No,4483,0,135,360,,Semiurban,No
LP002047,Male,Yes,2,Not Graduate,No,4521,1184,150,360,1,Semiurban,No
LP002056,Male,Yes,2,Graduate,No,9167,0,235,360,1,Semiurban,No
LP002057,Male,Yes,0,Not Graduate,No,13083,0,,360,1,Rural,No
LP002059,Male,Yes,2,Graduate,No,7874,3967,336,360,1,Rural,No
LP002062,Female,Yes,1,Graduate,No,4333,0,132,84,1,Rural,No
LP002064,Male,No,0,Graduate,No,4083,0,96,360,1,Urban,No
LP002069,Male,Yes,2,Not Graduate,,3785,2912,180,360,0,Rural,No
LP002070,Male,Yes,3+,Not Graduate,No,2654,1998,128,360,0,Rural,No
LP002077,Male,Yes,1,Graduate,No,10000,2690,412,360,1,Semiurban,No
LP002083,Male,No,0,Graduate,Yes,5833,0,116,360,1,Urban,No
LP002090,Male,Yes,1,Graduate,No,4796,0,114,360,0,Semiurban,No
LP002096,Male,Yes,0,Not Graduate,No,2000,1600,115,360,1,Rural,No
LP002099,Male,Yes,2,Graduate,No,2540,700,104,360,0,Urban,No
LP002102,Male,Yes,0,Graduate,Yes,1900,1442,88,360,1,Rural,No
LP002105,Male,Yes,0,Graduate,Yes,8706,0,108,480,1,Rural,No
LP002107,Male,Yes,3+,Not Graduate,No,2855,542,90,360,1,Urban,No
LP002111,Male,Yes,,Graduate,No,3016,1300,100,360,,Urban,No
LP002117,Female,Yes,0,Graduate,No,3159,2374,108,360,1,Semiurban,No
LP002118,Female,No,0,Graduate,No,1937,1152,78,360,1,Semiurban,Yes
LP002123,Male,Yes,0,Graduate,No,2613,2417,123,360,1,Semiurban,Yes
LP002125,Male,Yes,1,Graduate,No,4960,2600,187,360,1,Semiurban,No
LP002148,Male,Yes,1,Graduate,No,3074,1083,146,360,1,Semiurban,No
LP002152,Female,No,0,Graduate,No,4213,0,80,360,1,Urban,No

